# 2
Bewear Espurr Gliscor
Yveltal Blissey Snorlax
Gliscor Ho-oh Blissey
Serperior Jigglypuff Palossand
Wobbuffet Milotic Vikavolt
Tapu_Koko Giratina Magcargo
Weavile Garchomp Houndoom
Gengar Heatran Blissey
Yamask Drifloon Lucario
Dragonite Mew Alakazam
Machamp Skarmory Houndoom
Drifloon Gengar Hawlucha
Escavalier MissingNo Mimikyu
Deoxys Heracross Empoleon
Blaziken Togepi Aegislash
Empoleon Deoxys Vivillon
Empoleon Sableye Chandelure
Arceus Aegislash Slowpoke
Dialga Castform Talonflame
Electrode Arceus Vivillon
Arcanine Pachirisu Espurr
Talonflame Xurkitree Jolteon
Tapu_Koko Gengar Tyranitar
Eevee Zoroark Palossand
Houndoom Suicune Omanyte
