Date,Open,High,Low,Close,Adj Close,Volume
15/6/2023,162.5,162.5,160.5,162,152.23,4294000
16/6/2023,162,162,160.5,161,151.29,3428700
19/6/2023,160.5,162,159.5,161,151.29,3276600
20/6/2023,160.5,163.5,160.5,161.5,151.76,5043700
21/6/2023,161.5,163,161,163,153.17,2752000
22/6/2023,163,164,162,162.5,152.70,5408300
23/6/2023,163,164,162.5,162.5,152.70,2316300
26/6/2023,163.5,164,162.5,163,153.17,2724600
27/6/2023,163,163,161,161.5,151.76,4151500
28/6/2023,159,159.5,156,155.5,146.13,22093000
29/6/2023,156,158,155,156.5,147.07,9926600
30/6/2023,158,159.5,157.5,159.5,149.88,9382000
3/7/2023,160,160.5,158,159.5,149.88,7715000
4/7/2023,159.5,161.5,159.5,160.5,150.82,8514100
5/7/2023,161,161,158,159,149.41,9092600
6/7/2023,158,158,156,156,146.60,11904800
7/7/2023,155,157,155,156,146.60,4188500
10/7/2023,156.5,157,155.5,156.5,147.07,4631600
11/7/2023,157,158.5,157,158,148.47,6956200
12/7/2023,157.5,158.5,156.5,157,147.53,7848100
13/7/2023,157,157,155.5,156.5,147.07,5955900
14/7/2023,157,158,156.5,158,148.47,8755800
17/7/2023,158.5,160.5,158,160,150.35,7793700
18/7/2023,160,163,159.5,163,153.17,8731100
19/7/2023,163,164,161.5,164,154.11,7039500
20/7/2023,163.5,165,163,164,154.11,8321300
21/7/2023,167,167.5,163.5,164.5,154.58,16853600
24/7/2023,165.5,168,164.5,168,157.87,14372300
25/7/2023,168,169.5,167,168.5,158.34,7571300
26/7/2023,169,171,168,171.5,161.16,8693200
27/7/2023,171,172,168.5,170,159.75,10822700
31/7/2023,170.5,171.5,170.5,171.5,161.16,2678400
2/8/2023,169.5,170.5,168.5,168.5,158.34,10049200
3/8/2023,168,169,166.5,167,156.93,6270400
4/8/2023,167,169,166.5,168,157.87,6004500
7/8/2023,168.5,173.5,168.5,172.5,162.10,11106400
8/8/2023,173,173,170,170,159.75,6324600
9/8/2023,170,173,170,173,162.57,3950800
10/8/2023,174,175,172,174.5,163.98,5885300
11/8/2023,173.5,174.5,172.5,173.5,163.04,2717400
15/8/2023,172,173.5,171,171.5,161.16,5157100
16/8/2023,171.5,172.5,170,171,160.69,5290800
17/8/2023,171,171.5,170,171,160.69,3775300
18/8/2023,171,172.5,170,171,160.69,6458500
21/8/2023,171.5,172,170.5,171,160.69,2663300
22/8/2023,171.5,172,170.5,171,160.69,6543500
23/8/2023,172,172,169,170,159.75,11076000
24/8/2023,170,170.5,166.5,166.5,156.46,10287000
25/8/2023,166.5,168.5,166.5,167.5,157.40,4033600
28/8/2023,168.5,170,168.5,169.5,159.28,3988100
29/8/2023,169.5,170.5,169,170.5,160.22,4421200
30/8/2023,170.5,171,169.5,171,160.69,4062900
31/8/2023,170.5,171,169,169.5,159.28,3485500
1/9/2023,169.5,170,168.5,169,158.81,2466700
4/9/2023,169.5,170,168,168,157.87,2913500
5/9/2023,168.5,168.5,166.5,167,156.93,4394800
6/9/2023,165.5,168.5,165,168,159.79,3210000
7/9/2023,168,169,167,167,158.83,2338900
8/9/2023,167,167.5,166.5,166.5,158.36,1101600
11/9/2023,166.5,167.5,165,166,157.88,2896000
12/9/2023,166,166,164,165,156.93,7634600
13/9/2023,166.5,169.5,165.5,167.5,159.31,5724400
14/9/2023,167.5,169,167,168.5,160.26,3825000
15/9/2023,169.5,169.5,168,168.5,160.26,2143700
18/9/2023,168.5,168.5,166,167,158.83,2767400
19/9/2023,166.5,168,165,166,157.88,4016100
20/9/2023,166.5,167,165,166.5,158.36,3191800
21/9/2023,165.5,166,165,165,156.93,3969300
22/9/2023,165.5,166.5,165,166,157.88,4689500
25/9/2023,167,167,165,165.5,157.41,4115400
26/9/2023,165,165,162,162.5,154.55,6896000
27/9/2023,163.5,164.5,162.5,164.5,156.46,5352200
28/9/2023,164.5,166.5,164.5,164.5,156.46,4167300
29/9/2023,165.5,168.5,165.5,167.5,159.31,6288200
2/10/2023,168,168,166,167,158.83,3519200
3/10/2023,166,167.5,164.5,166.5,158.36,6113100
4/10/2023,165.5,168,165.5,167.5,159.31,4038400
5/10/2023,169,169,167.5,168.5,160.26,4048000
6/10/2023,169,169.5,167,167.5,159.31,4118800
9/10/2023,167,169,166.5,168,159.79,4180400
10/10/2023,168.5,168.5,166.5,166.5,158.36,3865400
11/10/2023,167,168.5,166,168,159.79,5353400
12/10/2023,168.5,170,168,169.5,161.21,5110900
16/10/2023,169.5,170,165.5,167,158.83,8707000
17/10/2023,167.5,168,166.5,167,158.83,2674400
18/10/2023,167,169,166.5,167.5,159.31,2879900
19/10/2023,167,169.5,166.5,168.5,160.26,6060500
20/10/2023,168.5,169,166.5,167,158.83,8960300
24/10/2023,167,167,161,161.5,153.60,14938600
25/10/2023,163,163.5,161,161.5,153.60,9842200
26/10/2023,161,162,157.5,158,150.27,9930800
27/10/2023,158.5,159.5,156.5,158.5,150.75,9055400
30/10/2023,157,160,156,159,151.23,7184900
31/10/2023,159.5,160,157,157.5,149.80,6618200
