Date,Open,High,Low,Close,Adj Close,Volume
2/5/2023,4.21999979,4.21999979,4.119999886,4.159999847,4.09,9800
3/5/2023,4.079999924,4.199999809,4.079999924,4.179999828,4.11,7700
8/5/2023,4.239999771,4.239999771,4.119999886,4.179999828,4.11,13800
9/5/2023,4.179999828,4.199999809,4.119999886,4.199999809,4.13,14300
10/5/2023,4.199999809,4.380000114,4.199999809,4.300000191,4.23,28300
11/5/2023,4.300000191,4.300000191,4.239999771,4.260000229,4.19,7900
12/5/2023,4.28000021,4.28000021,4.199999809,4.239999771,4.17,7300
15/5/2023,4.300000191,4.300000191,4.239999771,4.239999771,4.17,11000
16/5/2023,4.21999979,4.239999771,4.199999809,4.21999979,4.15,23400
17/5/2023,4.21999979,4.300000191,4.21999979,4.300000191,4.23,11900
18/5/2023,4.300000191,4.300000191,4.179999828,4.28000021,4.21,900
19/5/2023,4.099999905,4.260000229,4.099999905,4.239999771,4.17,3500
22/5/2023,4.239999771,4.28000021,4.21999979,4.21999979,4.15,9700
23/5/2023,4.239999771,4.260000229,4.199999809,4.199999809,4.13,3500
24/5/2023,4.300000191,4.300000191,4.239999771,4.28000021,4.21,2100
25/5/2023,4.28000021,4.28000021,4.199999809,4.199999809,4.13,3400
26/5/2023,4.260000229,4.28000021,4.21999979,4.239999771,4.17,6700
29/5/2023,4.239999771,4.300000191,4.179999828,4.179999828,4.11,13200
30/5/2023,4.300000191,4.300000191,4.179999828,4.300000191,4.23,8600
31/5/2023,4.300000191,4.300000191,4.159999847,4.260000229,4.19,33600
1/6/2023,4.179999828,4.179999828,4.139999866,4.179999828,4.11,9400
2/6/2023,4.360000134,4.360000134,4.199999809,4.199999809,4.13,9100
6/6/2023,4.260000229,4.260000229,4.159999847,4.179999828,4.11,27400
7/6/2023,4.179999828,4.239999771,4.179999828,4.21999979,4.15,23300
8/6/2023,4.139999866,4.199999809,4.139999866,4.199999809,4.13,21100
9/6/2023,4.159999847,4.21999979,4.159999847,4.199999809,4.13,29800
12/6/2023,4.199999809,4.199999809,4.139999866,4.159999847,4.09,12100
13/6/2023,4.159999847,4.199999809,4.099999905,4.179999828,4.11,47900
14/6/2023,4.179999828,4.199999809,4.159999847,4.179999828,4.11,28900
15/6/2023,4.179999828,4.179999828,4.159999847,4.159999847,4.09,11900
16/6/2023,4.179999828,4.179999828,4.139999866,4.159999847,4.09,23400
19/6/2023,4.099999905,4.139999866,4.019999981,4.119999886,4.05,20500
20/6/2023,4.099999905,4.119999886,4,4.119999886,4.05,50400
21/6/2023,4.099999905,4.099999905,4.019999981,4.019999981,3.95,14000
22/6/2023,4.039999962,4.039999962,3.980000019,4,3.93,32400
23/6/2023,3.980000019,4,3.980000019,4,3.93,5900
26/6/2023,4.039999962,4.039999962,3.980000019,4,3.93,4908400
27/6/2023,4,4.019999981,4,4.019999981,3.95,6000
28/6/2023,4.079999924,4.079999924,3.920000076,3.920000076,3.85,4900
29/6/2023,4.079999924,4.079999924,3.960000038,4.059999943,3.99,3400
30/6/2023,4.059999943,4.059999943,3.960000038,3.980000019,3.91,11800
3/7/2023,4,4,3.940000057,3.980000019,3.91,14300
4/7/2023,3.980000019,4.019999981,3.980000019,4,3.93,6900
5/7/2023,4,4,3.920000076,3.980000019,3.91,4100
6/7/2023,3.960000038,4,3.960000038,4,3.93,8600
